,Year,FirstServe,FirstServePointsWon,FirstServeReturnPointsWon,SecondServePointsWon,SecondServeReturnPointsWon,Aces,BreakPointsConverted,BreakPointsFaced,BreakPointsOpportunities,BreakPointsSaved,DoubleFaults,ReturnGamesPlayed,ReturnGamesWon,ReturnPointsWon,ServiceGamesPlayed,ServiceGamesWon,TotalPointsWon,TotalServicePointsWon,Wins,Losses,Winnings,Ranking
ReturnGamesWon,-0.07325625066592403,-0.010676057100339406,-0.010192745536960824,0.7574345362894392,0.09662161706996979,0.6037552628073317,0.13998738422993165,0.5617586172279643,0.335204889086765,0.3584833030915376,0.04612740357839716,0.2742254688965819,0.2944698147948376,1.0,0.872216480728727,0.29399463082918204,0.0573153789165755,0.5490221113344299,0.03790673807808943,0.29292017195818737,0.2634720620071795,0.2796450565493094,-0.1912803195874613
ReturnPointsWon,-0.07822913672017139,0.004188784917061926,-0.0027933811350918407,0.8342667785711294,0.0955847210609086,0.7273378166829702,0.13802319766636123,0.387169919571962,0.33104336248889343,0.35278318778670315,0.05431665101399574,0.2712986815099202,0.29178167927316384,0.872216480728727,1.0,0.29110206509697895,0.09602260977890306,0.5656032268219996,0.04775810193020246,0.28023972812886105,0.26527115646658106,0.2716459071831737,-0.20259689135777276
ServiceGamesPlayed,-0.10847716736788286,0.07191953542855989,0.37645955662224256,0.2612064819485052,0.2968093960794472,0.20952118093408764,0.8661379444336128,0.08318165186227465,0.9712957412806482,0.9782777279402988,0.27467665368098976,0.9258793374257891,0.9998415393969228,0.29399463082918204,0.29110206509697895,1.0,0.41846668309109303,0.4889983430152608,0.4296048546933637,0.9291525358241288,0.9351823440696629,0.9129849378413334,-0.33173802870082236
ServiceGamesWon,-0.008929988832730901,0.13747298451122578,0.8178287112536617,0.09131936726823242,0.6507635717657084,0.09655265212872431,0.4409216719292561,-0.025669747125354078,0.35401168251966475,0.37227085288626016,0.5180906890073671,0.37868578557905214,0.41782525154212546,0.0573153789165755,0.09602260977890306,0.41846668309109303,1.0,0.7270907657146702,0.9347636462414427,0.3850403464836889,0.36734476286223755,0.39557717398518866,-0.19882221990394192
TotalPointsWon,-0.04178965079186459,0.1483488360585205,0.6487527495856211,0.49668159347050284,0.62267274703838,0.40897510801518616,0.42867879566617045,0.255050209393476,0.4631101159004635,0.491197813895984,0.4643795191193475,0.4466699889103817,0.4883510173127098,0.5490221113344299,0.5656032268219996,0.4889983430152608,0.7270907657146702,1.0,0.7913560057225144,0.45936836841910705,0.4285434530238053,0.46106082878125043,-0.2720071941747376
TotalServicePointsWon,-0.005543609578798145,0.18099572312110448,0.8600328404588393,0.052335198188387305,0.7130764722001979,0.05500416626219906,0.4721011439686369,-0.007253784262926739,0.3540050843191427,0.3807160055306543,0.47614265937885886,0.38337886237996427,0.428758626354479,0.03790673807808943,0.04775810193020246,0.4296048546933637,0.9347636462414427,0.7913560057225144,1.0,0.3992703561393277,0.37128251430214193,0.4077070018393843,-0.20835506744437224
Wins,-0.10823507148605563,0.06483207778247921,0.3567016288756446,0.25602899947226415,0.2689786995380068,0.1930926629388326,0.8253011922488656,0.07698919220342929,0.8834699298437789,0.9234533173669724,0.2520527701433836,0.8474593354009959,0.9284076225806646,0.29292017195818737,0.28023972812886105,0.9291525358241288,0.3850403464836889,0.45936836841910705,0.3992703561393277,1.0,0.878732020026421,0.9132973207773785,-0.2870180571726821
Losses,-0.0771811872061143,0.053736051077601994,0.3305809897996183,0.24327847875776634,0.2509178795903489,0.18521712388123435,0.7686283347845073,0.062296630482350214,0.9433086885312048,0.9092952673707873,0.24698959225555397,0.8819221007707454,0.9367552157905914,0.2634720620071795,0.26527115646658106,0.9351823440696629,0.36734476286223755,0.4285434530238053,0.37128251430214193,0.878732020026421,1.0,0.8692767614021027,-0.3006144892848522
Winnings,0.043908051068873924,0.05788214662085208,0.36112105949289974,0.24080834046115288,0.2812148088288473,0.19940129736079046,0.7984043540699404,0.07502218831566927,0.8760356989199072,0.9004439010037795,0.2582707718865988,0.8546851784438947,0.9126126236635055,0.2796450565493094,0.2716459071831737,0.9129849378413334,0.39557717398518866,0.46106082878125043,0.4077070018393843,0.9132973207773785,0.8692767614021027,1.0,-0.3598346126635898
Ranking,-0.04048321827287175,-0.06875861131845683,-0.15000394867000427,-0.17866426231103438,-0.18101292289365323,-0.1595921118461223,-0.2778112907404095,-0.051005104239102636,-0.32208209803052423,-0.3345483369412154,-0.12121964367708192,-0.30586627236039937,-0.33147813720669367,-0.1912803195874613,-0.20259689135777276,-0.33173802870082236,-0.19882221990394192,-0.2720071941747376,-0.20835506744437224,-0.2870180571726821,-0.3006144892848522,-0.3598346126635898,1.0
